batter,total_runs,balls_faced,strike_rate
BB McCullum,2882,2190,131.59817351598173
DJ Mitchell,351,267,131.46067415730337
RG Sharma,6630,5057,131.10539845758356
AR Patel,1653,1263,130.87885985748218
A Mithun,34,26,130.76923076923077
M Vohra,1083,829,130.63932448733414
SN Khan,585,448,130.58035714285714
RV Uthappa,4954,3801,130.33412259931595
PD Collingwood,203,156,130.12820512820514
OA Shah,506,389,130.0771208226221
A Symonds,974,750,129.86666666666667
Ankit Sharma,87,67,129.8507462686567
V Shankar,1115,859,129.80209545983703
Yuvraj Singh,2754,2122,129.78322337417532
RA Jadeja,2959,2280,129.78070175438597
AK Markram,995,767,129.72620599739244
SW Billings,503,388,129.63917525773198
SM Katich,241,186,129.56989247311827
DJ Bravo,1560,1204,129.56810631229237
DJ Hooda,1466,1132,129.5053003533569
TR Birt,75,58,129.31034482758622
STR Binny,880,683,128.84333821376282
SPD Smith,2495,1945,128.2776349614396
Azhar Mahmood,388,303,128.05280528052805
AJ Finch,2092,1635,127.95107033639144
B Lee,124,97,127.83505154639174
CL White,971,760,127.76315789473685
KK Nair,1496,1171,127.75405636208367
MR Marsh,665,521,127.6391554702495
WP Saha,2934,2300,127.56521739130436
AT Rayudu,4348,3409,127.54473452625403
SS Iyer,3131,2455,127.5356415478615
MV Boucher,394,309,127.50809061488673
Azmatullah Omarzai,42,33,127.27272727272727
CJ Anderson,538,423,127.18676122931443
MW Short,117,92,127.17391304347827
S Dhawan,6769,5326,127.09350356740518
UT Khawaja,127,100,127.0
MC Henriques,1000,788,126.90355329949239
Gulbadin Naib,19,15,126.66666666666666
LMP Simmons,1079,852,126.6431924882629
AC Voges,181,143,126.57342657342659
MN van Wyk,167,132,126.51515151515152
P Negi,365,289,126.29757785467129
S Sohal,368,292,126.02739726027397
AD Mathews,724,575,125.91304347826086
AS Yadav,49,39,125.64102564102564
KS Williamson,2132,1697,125.63347083087801
C Munro,177,141,125.53191489361701
AD Hales,148,118,125.42372881355932
BJ Hodge,1400,1118,125.22361359570662
A Choudhary,25,20,125.0
Arshad Khan (2),5,4,125.0
SA Asnodkar,423,339,124.7787610619469
Shakib Al Hasan,795,639,124.4131455399061
AP Tare,339,273,124.17582417582418
Sohail Tanvir,36,29,124.13793103448276
DH Yagnik,170,137,124.08759124087592
JP Duminy,2029,1636,124.02200488997555
G Gambhir,4217,3404,123.88366627497062
LRPL Taylor,1017,822,123.72262773722629
DPMD Jayawardene,1808,1464,123.49726775956285
AM Rahane,4642,3761,123.42462111140655
MG Bracewell,58,47,123.40425531914893
HC Brook,190,154,123.37662337662339
D Padikkal,1559,1266,123.1437598736177
KM Jadhav,1208,981,123.13965341488277
AB McDonald,123,100,123.0
DJ Hussey,1322,1075,122.97674418604652
Mandeep Singh,1706,1388,122.91066282420748
LA Pomersbach,302,246,122.76422764227641
JO Holder,259,211,122.74881516587676
HV Patel,249,203,122.66009852216749
MEK Hussey,1977,1612,122.64267990074443
Harpreet Brar,233,190,122.63157894736842
EJG Morgan,1406,1148,122.47386759581882
DJG Sammy,295,241,122.40663900414938
DNT Zoysa,11,9,122.22222222222223
SA Abbott,22,18,122.22222222222223
KS Bharat,199,163,122.08588957055215
Sachin Baby,144,118,122.03389830508475
GJ Bailey,663,544,121.875
Shahbaz Ahmed,536,440,121.81818181818183
M Vijay,2619,2150,121.81395348837209
MJ McClenaghan,85,70,121.42857142857142
MK Pandey,3859,3183,121.2378259503613
KC Sangakkara,1687,1392,121.19252873563218
Gurkeerat Singh,511,422,121.09004739336493
IK Pathan,1150,950,121.05263157894737
Anmolpreet Singh,139,115,120.8695652173913
PC Valthaty,505,418,120.8133971291866
PA Patel,2848,2358,120.78032230703985
R Bhatia,342,284,120.4225352112676
S Anirudha,136,113,120.35398230088497
SS Tiwary,1494,1244,120.09646302250805
Saurav Chauhan,18,15,120.0
DM Bravo,6,5,120.0
Joginder Sharma,36,30,120.0
Salman Butt,193,161,119.87577639751552
SR Tendulkar,2334,1948,119.81519507186857
AJ Tye,91,76,119.73684210526316
KV Sharma,351,294,119.38775510204083
T Taibu,31,26,119.23076923076923
LA Carseldine,81,68,119.11764705882352
Anuj Rawat,318,267,119.10112359550563
Sanvir Singh,25,21,119.04761904761905
S Badrinath,1441,1212,118.8943894389439
SS Prabhudessai,126,106,118.86792452830188
SP Fleming,196,165,118.7878787878788
TK Curran,127,107,118.69158878504673
JD Unadkat,197,166,118.67469879518073
Sameer Rizvi,51,43,118.6046511627907
R Ashwin,800,675,118.5185185185185
NV Ojha,1554,1313,118.35491241431835
DB Ravi Teja,375,317,118.29652996845425
KA Jamieson,65,55,118.18181818181819
NL McCullum,26,22,118.18181818181819
GD Phillips,65,55,118.18181818181819
Y Venugopal Rao,985,836,117.82296650717703
TL Suman,676,575,117.56521739130434
RS Bopara,531,453,117.21854304635761
A Flintoff,62,53,116.98113207547169
MK Tiwary,1695,1449,116.97722567287785
R Sathish,270,231,116.88311688311688
Vijaykumar Vyshak,14,12,116.66666666666667
DB Das,304,261,116.47509578544062
AM Nayar,672,577,116.46447140381282
Washington Sundar,378,325,116.3076923076923
AB Agarkar,179,154,116.23376623376625
AS Raut,194,167,116.1676646706587
DJM Short,115,99,116.16161616161615
OF Smith,51,44,115.90909090909092
LR Shukla,405,350,115.71428571428572
DT Christian,460,398,115.57788944723617
R Dravid,2174,1882,115.5154091392136
SD Lad,15,13,115.38461538461537
JL Pattinson,15,13,115.38461538461537
J Suchith,70,61,114.75409836065573
TM Dilshan,1153,1007,114.49851042701091
AP Majumdar,87,76,114.4736842105263
BR Dunk,40,35,114.28571428571428
