bowler,runs_conceded,overs_bowled,economy
Arshdeep Singh,2097,222.33333333333334,9.431784107946026
Y Venugopal Rao,338,35.833333333333336,9.432558139534883
A Nortje,1614,171.0,9.43859649122807
JDP Oram,362,38.333333333333336,9.443478260869565
CR Woakes,674,71.33333333333333,9.448598130841122
C Green,675,71.33333333333333,9.462616822429908
V Viyaskanth,90,9.5,9.473684210526315
HH Pandya,2196,231.66666666666666,9.479136690647483
VR Aaron,1527,161.0,9.48447204968944
SN Thakur,2908,306.0,9.50326797385621
Naveen-ul-Haq,602,63.333333333333336,9.505263157894737
VG Arora,598,62.666666666666664,9.542553191489363
SJ Srivastava,444,46.5,9.548387096774194
OC McCoy,255,26.666666666666668,9.5625
Anureet Singh,636,66.5,9.563909774436091
Pankaj Singh,472,49.333333333333336,9.567567567567567
T Shamsi,185,19.333333333333332,9.56896551724138
Karanveer Singh,323,33.666666666666664,9.594059405940595
S Dhawan,72,7.5,9.6
HR Shokeen,320,33.333333333333336,9.6
PVD Chameera,442,46.0,9.608695652173912
Azmatullah Omarzai,194,20.166666666666668,9.6198347107438
K Yadav,85,8.833333333333334,9.622641509433961
Shahbaz Ahmed,850,88.33333333333333,9.622641509433963
BB Sran,767,79.33333333333333,9.668067226890757
KL Nagarkoti,287,29.666666666666668,9.674157303370785
M de Lange,171,17.666666666666668,9.679245283018867
AUK Pathan,63,6.5,9.692307692307692
AD Russell,2691,277.5,9.697297297297297
JDS Neesham,342,35.166666666666664,9.725118483412324
KA Jamieson,271,27.833333333333332,9.736526946107785
KC Cariappa,349,35.833333333333336,9.73953488372093
JR Hopes,562,57.666666666666664,9.745664739884393
BE Hendricks,239,24.5,9.755102040816327
Mukesh Choudhary,452,46.333333333333336,9.755395683453237
A Flintoff,106,10.833333333333334,9.784615384615384
SH Johnson,155,15.833333333333334,9.789473684210526
R McLaren,558,57.0,9.789473684210526
Umran Malik,785,80.16666666666667,9.792099792099792
Yash Dayal,933,95.16666666666667,9.80385288966725
RP Meredith,621,63.166666666666664,9.8311345646438
Ramandeep Singh,64,6.5,9.846153846153847
S Ladda,225,22.833333333333332,9.854014598540147
Akash Singh,227,23.0,9.869565217391305
SM Curran,1924,193.83333333333334,9.926053310404127
P Suyal,154,15.5,9.935483870967742
Joginder Sharma,421,42.333333333333336,9.94488188976378
D Pretorius,242,24.333333333333332,9.945205479452055
MP Stoinis,1300,130.66666666666666,9.948979591836736
Mohammad Asif,307,30.833333333333332,9.956756756756757
AS Rajpoot,844,84.66666666666667,9.968503937007874
M Jansen,732,73.33333333333333,9.981818181818182
FY Fazal,20,2.0,10.0
Monu Kumar,20,2.0,10.0
KAJ Roach,80,8.0,10.0
RS Hangargekar,60,6.0,10.0
AS Joseph,707,70.66666666666667,10.004716981132075
Arjun Tendulkar,117,11.666666666666666,10.028571428571428
N Thushara,259,25.666666666666668,10.09090909090909
I Udana,286,28.333333333333332,10.094117647058823
Akash Madhwal,431,42.666666666666664,10.1015625
KR Sen,396,39.166666666666664,10.110638297872342
A Mithun,477,47.166666666666664,10.113074204946997
SR Tendulkar,59,5.833333333333333,10.114285714285716
R Sathish,233,23.0,10.130434782608695
TU Deshpande,1275,125.83333333333333,10.132450331125828
Basil Thampi,862,85.0,10.141176470588235
CJ Jordan,1111,109.16666666666667,10.17709923664122
MA Wood,192,18.833333333333332,10.194690265486726
AF Milne,339,33.166666666666664,10.221105527638192
GC Viljoen,229,22.333333333333332,10.253731343283583
Gagandeep Singh,142,13.833333333333334,10.265060240963855
B Laughlin,284,27.666666666666668,10.265060240963855
TS Mills,349,33.833333333333336,10.31527093596059
Vijaykumar Vyshak,396,38.333333333333336,10.330434782608695
A Nel,31,3.0,10.333333333333334
KS Williamson,31,3.0,10.333333333333334
Kartik Tyagi,720,69.16666666666667,10.409638554216867
S Dube,190,18.166666666666668,10.458715596330274
